path,bytes,sha256
00_analysis/BUILD_RECEIPT.json,1178,d32d65a5409b0276cb2a4946709c3ebc638b8652897664d4c5f819f801e421dc
00_analysis/CONCEPT_SELECTION.md,2532,b1a5f3d7a5969b50f666d8911c39dbd5739432408fc6bdf75db43c10e93e80f0
00_analysis/CORPUS_AUDIT_AND_SELECTION.md,3893,fdc2e4bf8a18bf6242d0186d95d37a6259afc6d54adce31dc5e096a83344d1e5
00_analysis/EXCLUDED_MATERIALS.md,1188,cadcdbe14e32c836a7e66c416ba44cb0306874031a8cd753a6056e5fccdc96c3
00_analysis/FULL_CORPUS_FILE_HASHES.json,55182,fff8fa603ab9fb0930aa9213e3f07973fbcc58375176f4193f45c5807db64f6b
00_analysis/OPEN_PRODUCT_DECISIONS.md,1847,0154768400e4cb1c851c7b4bbce914c79e1a11deff9a93dbcd6186c116366784
00_analysis/SOURCE_OF_TRUTH.md,4408,84f73e5bc1ca816ea8bd985481443ed56fafdfbe3004fcefc0788245c6f77f53
01_brief_and_research/FULL_SITE_IMPLEMENTATION_BRIEF_RU.md,55208,aa6a366e6cb70be648ced87e9086da83bb2ef76900aafdf2ac23b1d7a0d3e8c7
01_brief_and_research/prompt-patterns-synthesis.md,15652,1fbd719be777e68f396beabe00911f5e46ffee09cdd9663d1b5673a0fd1bcd71
01_brief_and_research/STORYBOARD_BOARD.svg,16554,892a7be020dae748b9016af6d5f3aeb5cd9b7caf7f6bd6be696189d06ca69334
01_brief_and_research/SYRE_V2_ASSET_MANIFEST.json,5868,81062cf45fbe3478e8d8c38533117eb8589c66d193333a4a5f6974d18958f62d
01_brief_and_research/SYRE_V2_DECISION.json,3452,0abcb8f8fe252d1d6acd519d2df6352d250a7d726d0336161eb5cd67f1039cfa
01_brief_and_research/SYRE_V2_STORYBOARD.md,15098,8aca6261e43ad886f0a7061c2bc228587fd92e6d463034c328a135ce0ae6497b
01_brief_and_research/web-reference-matrix.md,26732,e069d7ba5157ca2d1247a829f5e19b50911f1c0dcd99d713fef2b11f51fe95ca
01_brief_and_research/WIREFRAME_DESKTOP.svg,8403,85796d68ce887c0515ecb40e557525f5db1131097f59fa95f0a8a4e4ade33315
01_brief_and_research/WIREFRAME_MOBILE.svg,4436,17458302ed8264ae43a7759784bf62c47c6ec46f9e5ddd1b7944f107f63fb3e7
01_brief_and_research/Транскрипт_Запись.txt,8147,b520ed29ac786fc01e093c20a9dfb1579ee2f335d20355e06bf7f830da0ad686
02_brand_assets/color_catalog/previews/catalog-1.png,203399,31937004e1b52f0563790b719e61868dc2fd690c417a38b9bcb19c7fdfb0f9a6
02_brand_assets/color_catalog/previews/catalog-2.png,112190,d7c188626774ca2cb377a37d3d36f1b82f3348a7c6226e0d4fc102514320bbf1
02_brand_assets/color_catalog/previews/catalog-3.png,141449,4c0cacb447a770a133cd7dad0092e5c31ce6b98e2f3a317d0bc16b450c4b1c7f
02_brand_assets/color_catalog/Каталог цветов Syre (RU).ai,8701803,f3e3dfa3d30e3973bda42365b8c7acf513414ecb031a69c165cd03dcdbc93bb2
02_brand_assets/README.md,582,070c23dc866377bb479e52bad07e1ef6be451d3af2688f0cd15f8c7486ffdf69
02_brand_assets/references/client-reference-board.png,635692,ba7c04c0ee11f8e9935652a36f45ba766b7ce5d2a5040b3e6a85c5fc784e45bc
02_brand_assets/references/unwanted-marks-guide.png,1351832,83d608270cef7a61e66f1bab4b39a7be1956471279ccbad73777a9da20110471
02_brand_assets/v2_placeholder_reference/app.js,12462,1614aa0dbc779f2be8ea20dd741571a5e6404155093fdefbfdc4bdda46748b58
02_brand_assets/v2_placeholder_reference/assets/frame-01.png,1157322,ac3fb314bec4d85d575de817fd3b2d40100161584e34933874f90ec578e75d31
02_brand_assets/v2_placeholder_reference/assets/frame-02.png,1162773,ab83e25bd47182b75b26d861e7dc7908b08c90009184e4dd46c1ce8696260e01
02_brand_assets/v2_placeholder_reference/assets/frame-03.png,1154566,98a06fa59ec15a554078b8b5c554f68f328e72e8b3e89c8a52f33e31402b188c
